id;tieu_de;image_thumbnail;thoi_gian_dang;noi_dung_tom_tat;noi_dung_day_du;tac_gia
1;teal;mindshare capacitor;Sleek Soft Shoes channels;Specialist;../fake-data/blob/hipster.txt;overriding empowering
2;structure payment Avenue;olive withdrawal Fantastic Metal Computer;Computer Saudi Arabia Falkland Islands Pound;pink;../fake-data/blob/hipster.txt;Data Berkshire
3;Alabama New Jersey;Industrial Tunisian Dinar Cheese;Directives Granite matrix;Program metrics;../fake-data/blob/hipster.txt;Awesome
4;Bouvet Island (Bouvetoya) connecting;IB cross-media;Grocery Hat Sierra Leone;Credit Card Account;../fake-data/blob/hipster.txt;Customer full-range
5;empowering;Incredible;Rial Omani knowledge base;Consultant Checking Account circuit;../fake-data/blob/hipster.txt;Refined Bedfordshire
6;Assurance;ivory;Palladium;interactive budgetary management;../fake-data/blob/hipster.txt;compress Practical
7;Internal Berkshire Licensed;client-server driver;Checking Account Cambridgeshire Concrete;interactive benchmark;../fake-data/blob/hipster.txt;Soft
8;1080p;Landing heuristic networks;Isle;Ball Intelligent Granite Chair;../fake-data/blob/hipster.txt;Salad
9;Ergonomic Metal Gloves Utah Money Market Account;pink;Kenyan Shilling Horizontal Table;Music Security;../fake-data/blob/hipster.txt;Small driver payment
10;Ball;invoice bypass Intelligent Wooden Towels;Bahamas SCSI Drive;Cambridgeshire Home Assistant;../fake-data/blob/hipster.txt;Iowa
